epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
136,84.7813,1.40717,0.97097,1.03605,0.60156,0.51505,0.54623,0.21507,2.15806,1.94832,1.36177,0.00144421,0.00144421,0.00144421
137,85.2704,1.41985,0.91828,1.05178,0.60156,0.51505,0.54623,0.21507,2.15806,1.94832,1.36177,0.00144256,0.00144256,0.00144256
138,86.0019,1.38227,0.89369,0.9999,0.60156,0.51505,0.54623,0.21507,2.15806,1.94832,1.36177,0.0014409,0.0014409,0.0014409
139,86.8186,1.48615,0.95972,0.99349,0.60156,0.51505,0.54623,0.21507,2.15806,1.94832,1.36177,0.00143925,0.00143925,0.00143925
140,87.7667,1.492,0.95243,1.04318,0.65681,0.55833,0.5889,0.24313,2.10532,1.92347,1.33611,0.0014376,0.0014376,0.0014376
141,88.5115,1.39534,0.93742,1.05282,0.65681,0.55833,0.5889,0.24313,2.10532,1.92347,1.33611,0.00143595,0.00143595,0.00143595
142,89.4408,1.33169,0.89262,1.01979,0.65681,0.55833,0.5889,0.24313,2.10532,1.92347,1.33611,0.0014343,0.0014343,0.0014343
143,90.02,1.45862,0.94692,1.0177,0.65681,0.55833,0.5889,0.24313,2.10532,1.92347,1.33611,0.00143265,0.00143265,0.00143265
144,90.6854,1.4972,0.92968,1.01267,0.673,0.49935,0.57409,0.24246,2.07019,1.82233,1.31641,0.001431,0.001431,0.001431
145,91.2351,1.36785,0.86874,0.98157,0.673,0.49935,0.57409,0.24246,2.07019,1.82233,1.31641,0.00142935,0.00142935,0.00142935
146,91.6898,1.45384,1.00753,1.0282,0.673,0.49935,0.57409,0.24246,2.07019,1.82233,1.31641,0.0014277,0.0014277,0.0014277
147,92.3848,1.15324,0.82437,0.95229,0.673,0.49935,0.57409,0.24246,2.07019,1.82233,1.31641,0.00142605,0.00142605,0.00142605
148,92.9324,1.31168,0.92765,0.99656,0.70236,0.54167,0.57685,0.25491,2.00487,1.77944,1.29473,0.0014244,0.0014244,0.0014244
149,93.4941,1.43782,0.89665,0.98832,0.70236,0.54167,0.57685,0.25491,2.00487,1.77944,1.29473,0.00142275,0.00142275,0.00142275
150,94.0586,1.28975,0.88582,1.0338,0.70236,0.54167,0.57685,0.25491,2.00487,1.77944,1.29473,0.0014211,0.0014211,0.0014211
151,94.5764,1.33469,0.90627,0.98644,0.70236,0.54167,0.57685,0.25491,2.00487,1.77944,1.29473,0.00141945,0.00141945,0.00141945
152,95.2196,1.3595,0.89892,0.99502,0.6541,0.51328,0.59203,0.27259,2.03331,1.72405,1.29394,0.0014178,0.0014178,0.0014178
153,95.7453,1.61968,1.08242,1.05475,0.6541,0.51328,0.59203,0.27259,2.03331,1.72405,1.29394,0.00141615,0.00141615,0.00141615
154,96.2531,1.38343,0.94188,1.00697,0.6541,0.51328,0.59203,0.27259,2.03331,1.72405,1.29394,0.0014145,0.0014145,0.0014145
155,96.7747,1.44479,0.97904,0.98579,0.6541,0.51328,0.59203,0.27259,2.03331,1.72405,1.29394,0.00141285,0.00141285,0.00141285
156,97.436,1.24669,0.78617,0.95927,0.62492,0.52892,0.58922,0.2637,2.05729,1.75278,1.30207,0.0014112,0.0014112,0.0014112
157,97.9381,1.38508,0.9002,1.0073,0.62492,0.52892,0.58922,0.2637,2.05729,1.75278,1.30207,0.00140955,0.00140955,0.00140955
158,98.469,1.29156,0.86576,0.98552,0.62492,0.52892,0.58922,0.2637,2.05729,1.75278,1.30207,0.0014079,0.0014079,0.0014079
159,98.9243,1.39437,0.96539,1.01854,0.62492,0.52892,0.58922,0.2637,2.05729,1.75278,1.30207,0.00140625,0.00140625,0.00140625
160,99.5813,1.3148,0.86632,0.97893,0.54193,0.49487,0.57036,0.24708,2.01112,1.75508,1.3091,0.0014046,0.0014046,0.0014046
161,100.367,1.34333,0.83415,0.99664,0.54193,0.49487,0.57036,0.24708,2.01112,1.75508,1.3091,0.00140295,0.00140295,0.00140295
162,101.21,1.42753,0.91933,1.00942,0.54193,0.49487,0.57036,0.24708,2.01112,1.75508,1.3091,0.0014013,0.0014013,0.0014013
163,102.044,1.15289,0.80299,0.96731,0.54193,0.49487,0.57036,0.24708,2.01112,1.75508,1.3091,0.00139965,0.00139965,0.00139965
164,102.949,1.28608,0.85641,0.97896,0.66266,0.44876,0.57196,0.24102,2.05924,1.62063,1.33123,0.001398,0.001398,0.001398
165,103.665,1.51858,1.00723,0.97891,0.66266,0.44876,0.57196,0.24102,2.05924,1.62063,1.33123,0.00139635,0.00139635,0.00139635
